indent,category,series_id,basis
0,All items,CUSR0000SA0,SA
1,Food,CUSR0000SAF1,SA
2,Food at home,CUSR0000SAF11,SA
3,Cereals and bakery products,CUSR0000SAF111,SA
4,Cereals and cereal products,CUSR0000SEFA,SA
5,Flour and prepared flour mixes,CUSR0000SEFA01,SA
5,Breakfast cereal(4),CUSR0000SEFA02,SA
5,"Rice, pasta, cornmeal",CUSR0000SEFA03,SA
6,Rice(4)(5)(6),CUUR0000SS01031,NSA
5,Bakery products(4),CUSR0000SEFB,SA
6,Bread(4)(5),CUSR0000SEFB01,SA
7,White bread(4)(6),CUUR0000SS02011,NSA
7,Bread other than white(4)(6),CUUR0000SS02021,NSA
6,"Fresh biscuits, rolls, muffins(4)(5)",CUSR0000SEFB02,SA
6,"Cakes, cupcakes, and cookies(4)",CUSR0000SEFB03,SA
7,Cookies(4)(6),CUSR0000SS02042,SA
7,Fresh cakes and cupcakes(4)(6),CUUR0000SS02041,NSA
6,Other bakery products,CUSR0000SEFB04,SA
7,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",CUUR0000SS02063,NSA
7,"Crackers, bread, and cracker products(6)",CUSR0000SS0206A,SA
7,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",CUSR0000SS0206B,SA
3,"Meats, poultry, fish, and eggs",CUSR0000SAF112,SA
4,"Meats, poultry, and fish",CUSR0000SAF1121,SA
5,Meats,CUSR0000SAF11211,SA
6,Beef and veal,CUSR0000SEFC,SA
7,Uncooked ground beef,CUSR0000SEFC01,SA
7,Uncooked beef roasts(5),CUSR0000SEFC02,SA
7,Uncooked beef steaks(5),CUSR0000SEFC03,SA
7,Uncooked other beef and veal(4)(5),CUUR0000SEFC04,NSA
6,Pork,CUSR0000SEFD,SA
7,"Bacon, breakfast sausage, and related products(5)",CUSR0000SEFD01,SA
8,Bacon and related products(6),CUSR0000SS04011,SA
8,Breakfast sausage and related products(5)(6),CUSR0000SS04012,SA
7,Ham,CUSR0000SEFD02,SA
8,"Ham, excluding canned(6)",CUSR0000SS04031,SA
7,Pork chops(4),CUSR0000SEFD03,SA
7,"Other pork including roasts, steaks, and ribs(4)(5)",CUSR0000SEFD04,SA
6,Other meats,CUSR0000SEFE,SA
7,Frankfurters(6),CUSR0000SS05011,SA
7,Lunchmeats(4)(5)(6),CUSR0000SS0501A,SA
6,Poultry,CUSR0000SEFF,SA
7,Chicken(5),CUSR0000SEFF01,SA
8,Fresh whole chicken(6),CUSR0000SS06011,SA
8,Fresh and frozen chicken parts(6),CUSR0000SS06021,SA
7,Other uncooked poultry including turkey(5),CUSR0000SEFF02,SA
6,Fish and seafood(4),CUSR0000SEFG,SA
7,Fresh fish and seafood(4)(5),CUSR0000SEFG01,SA
7,Processed fish and seafood(5),CUSR0000SEFG02,SA
8,Shelf stable fish and seafood(4)(6),CUSR0000SS07011,SA
8,Frozen fish and seafood(6),CUSR0000SS07021,SA
5,Eggs,CUSR0000SEFH,SA
3,Dairy and related products(4),CUSR0000SEFJ,SA
4,Milk(4)(5),CUSR0000SEFJ01,SA
5,Fresh whole milk(4)(6),CUSR0000SS09011,SA
5,Fresh milk other than whole(4)(5)(6),CUSR0000SS09021,SA
4,Cheese and related products(4),CUSR0000SEFJ02,SA
4,Ice cream and related products,CUSR0000SEFJ03,SA
4,Other dairy and related products(5),CUSR0000SEFJ04,SA
3,Fruits and vegetables,CUSR0000SAF113,SA
4,Fresh fruits and vegetables,CUSR0000SAF1131,SA
5,Fresh fruits,CUSR0000SEFK,SA
6,Apples,CUSR0000SEFK01,SA
6,Bananas(4),CUSR0000SEFK02,SA
6,Citrus fruits(5),CUSR0000SEFK03,SA
7,"Oranges, including tangerines(6)",CUSR0000SS11031,SA
6,Other fresh fruits(5),CUSR0000SEFK04,SA
5,Fresh vegetables,CUSR0000SEFL,SA
6,Potatoes,CUSR0000SEFL01,SA
6,Lettuce,CUSR0000SEFL02,SA
6,Tomatoes,CUSR0000SEFL03,SA
6,Other fresh vegetables,CUSR0000SEFL04,SA
5,Processed fruits and vegetables(5),CUSR0000SEFM,SA
6,Canned fruits and vegetables(5),CUSR0000SEFM01,SA
7,Canned fruits(4)(5)(6),CUSR0000SS13031,SA
7,Canned vegetables(5)(6),CUSR0000SS14021,SA
6,Frozen fruits and vegetables(5),CUSR0000SEFM02,SA
7,Frozen vegetables(6),CUSR0000SS14011,SA
6,Other processed fruits and vegetables including dried(5),CUSR0000SEFM03,SA
7,"Dried beans, peas, and lentils(4)(5)(6)",CUUR0000SS14022,NSA
3,Nonalcoholic beverages and beverage materials,CUSR0000SAF114,SA
4,Juices and nonalcoholic drinks(5),CUSR0000SEFN,SA
5,Carbonated drinks,CUSR0000SEFN01,SA
5,Frozen noncarbonated juices and drinks(4)(5),CUUR0000SEFN02,NSA
5,Nonfrozen noncarbonated juices and drinks(5),CUSR0000SEFN03,SA
4,Beverage materials including coffee and tea(5),CUSR0000SEFP,SA
5,Coffee,CUSR0000SEFP01,SA
6,Roasted coffee(6),CUSR0000SS17031,SA
6,Instant coffee(4)(6),CUUR0000SS17032,NSA
5,Other beverage materials including tea(4)(5),CUSR0000SEFP02,SA
3,Other food at home,CUSR0000SAF115,SA
4,Sugar and sweets,CUSR0000SEFR,SA
5,Sugar and sugar substitutes,CUSR0000SEFR01,SA
5,Candy and chewing gum(5),CUSR0000SEFR02,SA
5,Other sweets(4)(5),CUSR0000SEFR03,SA
4,Fats and oils,CUSR0000SEFS,SA
5,Butter and margarine(5),CUSR0000SEFS01,SA
6,Butter(6),CUSR0000SS10011,SA
6,Margarine(6),CUSR0000SS16011,SA
5,Salad dressing(4)(5),CUSR0000SEFS02,SA
5,Other fats and oils including peanut butter(5),CUSR0000SEFS03,SA
6,Peanut butter(4)(5)(6),CUUR0000SS16014,NSA
5,Other foods,CUSR0000SEFT,SA
6,Soups,CUSR0000SEFT01,SA
6,Frozen and freeze dried prepared foods,CUSR0000SEFT02,SA
6,Snacks,CUSR0000SEFT03,SA
6,"Spices, seasonings, condiments, sauces",CUSR0000SEFT04,SA
7,Salt and other seasonings and spices(5)(6),CUSR0000SS18041,SA
7,"Olives, pickles, relishes(5)(6)",CUSR0000SS18042,SA
7,Sauces and gravies(5)(6),CUSR0000SS18043,SA
7,Other condiments(6),CUSR0000SS1804B,SA
6,Baby food and formula(4)(5),CUUR0000SEFT05,NSA
6,Other miscellaneous foods(4)(5),CUSR0000SEFT06,SA
7,Prepared salads(6)(7),CUSR0000SS18064,SA
2,Food away from home(4),CUSR0000SEFV,SA
3,Full service meals and snacks(4)(5),CUSR0000SEFV01,SA
3,Limited service meals and snacks(4)(5),CUUR0000SEFV02,NSA
3,Food at employee sites and schools(4)(5),CUSR0000SEFV03,SA
4,Food at elementary and secondary schools(4)(6)(8),CUSR0000SSFV031A,SA
3,Food from vending machines and mobile vendors(4)(5),CUUR0000SEFV04,NSA
3,Other food away from home(5),CUSR0000SEFV05,SA
1,Energy,CUSR0000SA0E,SA
2,Energy commodities,CUSR0000SACE,SA
3,Fuel oil and other fuels,CUSR0000SEHE,SA
4,Fuel oil,CUSR0000SEHE01,SA
4,"Propane, kerosene, and firewood(9)",CUSR0000SEHE02,SA
3,Motor fuel,CUSR0000SETB,SA
4,Gasoline (all types),CUSR0000SETB01,SA
5,"Gasoline, unleaded regular(6)",CUSR0000SS47014,SA
5,"Gasoline, unleaded midgrade(6)(10)",CUSR0000SS47015,SA
5,"Gasoline, unleaded premium(6)",CUSR0000SS47016,SA
4,Other motor fuels(4)(5),CUSR0000SETB02,SA
2,Energy services,CUSR0000SEHF,SA
3,Electricity,CUSR0000SEHF01,SA
3,Utility (piped) gas service,CUSR0000SEHF02,SA
1,All items less food and energy,CUSR0000SA0L1E,SA
2,Commodities less food and energy commodities,CUSR0000SACL1E,SA
3,Household furnishings and supplies(11),CUSR0000SAH31,SA
4,Window and floor coverings and other linens(5),CUSR0000SEHH,SA
5,Floor coverings(4)(5),CUUR0000SEHH01,NSA
5,Window coverings(4)(5),CUSR0000SEHH02,SA
5,Other linens(5),CUSR0000SEHH03,SA
4,Furniture and bedding(4),CUSR0000SEHJ,SA
5,Bedroom furniture(4),CUUR0000SEHJ01,NSA
5,"Living room, kitchen, and dining room furniture(4)(5)",CUUR0000SEHJ02,NSA
5,Other furniture(5),CUSR0000SEHJ03,SA
4,Appliances(5),CUSR0000SEHK,SA
5,Major appliances(5),CUSR0000SEHK01,SA
6,Laundry equipment(4)(6),CUSR0000SS30021,SA
5,Other appliances(5),CUSR0000SEHK02,SA
4,Other household equipment and furnishings(5),CUSR0000SEHL,SA
5,"Clocks, lamps, and decorator items(4)",CUUR0000SEHL01,NSA
5,Indoor plants and flowers(12),CUSR0000SEHL02,SA
5,Dishes and flatware(4)(5),CUUR0000SEHL03,NSA
5,Nonelectric cookware and tableware(5),CUSR0000SEHL04,SA
4,"Tools, hardware, outdoor equipment and supplies(4)(5)",CUSR0000SEHM,SA
5,"Tools, hardware and supplies(5)",CUSR0000SEHM01,SA
5,Outdoor equipment and supplies(4)(5),CUSR0000SEHM02,SA
4,Housekeeping supplies(4),CUSR0000SEHN,SA
5,Household cleaning products(4)(5),CUSR0000SEHN01,SA
5,Household paper products(4)(5),CUUR0000SEHN02,NSA
5,Miscellaneous household products(4)(5),CUSR0000SEHN03,SA
3,Apparel,CUSR0000SAA,SA
4,Men's and boys' apparel,CUSR0000SAA1,SA
5,Men's apparel,CUSR0000SEAA,SA
6,"Men's suits, sport coats, and outerwear",CUSR0000SEAA01,SA
6,"Men's underwear, nightwear, swimwear, and accessories",CUSR0000SEAA02,SA
6,Men's shirts and sweaters(5),CUSR0000SEAA03,SA
6,Men's pants and shorts,CUSR0000SEAA04,SA
5,Boys' apparel,CUSR0000SEAB,SA
4,Women's and girls' apparel,CUSR0000SAA2,SA
5,Women's apparel,CUSR0000SEAC,SA
6,Women's outerwear,CUSR0000SEAC01,SA
6,Women's dresses,CUSR0000SEAC02,SA
6,Women's suits and separates(5),CUSR0000SEAC03,SA
